Record_Type,CUSIP_Number,Pool_ID,Issue_Type,Pool_Type,Pool_Issue_Date,Issuer_ID,As-Of_Date,Loan_Count
T,36208AZY0,891562,H,RM,20080901,9281,202305,73
T,36208AZZ7,891563,H,ML,20080901,9281,202305,19
T,36208AZ61,891564,H,RM,20081101,9281,202305,73
T,36208A2R1,891565,H,RM,20090201,9281,202305,69
T,36208A2Y6,891566,H,RM,20090501,9281,202305,66
T,36208AZN4,891588,H,RM,20080401,4015,202305,247
T,36208AZP9,891615,H,ML,20080601,4394,202305,187
T,36208AZR5,891616,H,RM,20080701,4394,202305,103
T,36208AZU8,891617,H,ML,20080801,4394,202305,187
T,36208AZV6,891618,H,RM,20080801,4394,202305,103
T,36208AZW4,891619,H,ML,20080901,4394,202305,187
T,36208AZX2,891620,H,RM,20080901,4394,202305,103
T,36208AZ46,891621,H,ML,20081001,4394,202305,187
T,36208AZ53,891622,H,RM,20081001,4394,202305,103
T,36208AZ79,891623,H,ML,20081101,4394,202305,187
T,36208AZ87,891624,H,RM,20081101,4394,202305,103
T,36208AZS3,891770,H,ML,20080801,4015,202305,97
T,36208AZT1,891771,H,ML,20080801,4015,202305,55
T,3620E0WF9,891772,H,ML,20120801,4015,202305,17
T,3620E0WY8,891773,H,ML,20120801,4015,202305,10
T,3620E0XH4,891774,H,ML,20120801,4015,202305,17
T,36208A3B5,891840,H,ML,20090601,9281,202305,19
T,36208A3J8,891841,H,RM,20090801,9281,202305,65
T,36208AZ38,892038,H,ML,20081001,4015,202305,321
T,36208AZ95,892039,H,ML,20081201,4015,202305,110
T,36208A2E0,892040,H,ML,20090101,4015,202305,144
T,36208A2S9,892041,H,ML,20090301,4015,202305,3
T,36208A2T7,892042,H,ML,20090401,4015,202305,2
T,36208A2P5,892242,H,ML,20090101,4394,202305,187
T,36208A2Q3,892243,H,RM,20090101,4394,202305,103
T,36208A2U4,892291,H,ML,20090401,4015,202305,5
T,36208A3D1,892292,H,ML,20090701,4015,202305,731
T,36208A2Z3,892331,H,ML,20090501,4015,202305,6
T,36208A3A7,892332,H,ML,20090501,4015,202305,9
T,36208A3N9,892333,H,RM,20090801,9281,202305,388
T,36208A3G4,892334,H,RM,20090701,9281,202305,88
T,36208A3C3,892335,H,RM,20090601,4015,202305,183
T,36208A3E9,892336,H,ML,20090701,4015,202305,45
T,36208A3F6,892337,H,ML,20090701,4015,202305,28
T,36208A3H2,892338,H,ML,20090701,4015,202305,33
T,36208A3K5,892339,H,ML,20090801,4015,202305,89
T,36208A3L3,892340,H,ML,20090801,4015,202305,57
T,36208A3M1,892341,H,ML,20090801,4015,202305,21
T,36208A3P4,892342,H,ML,20090901,9281,202305,29
T,36208A3Q2,892343,H,ML,20090901,9281,202305,15
T,36208A3R0,892344,H,ML,20090901,9281,202305,4
T,36208A3U3,892345,H,ML,20090901,4015,202305,47
T,36208A3S8,892346,H,ML,20090901,4015,202305,48
